game_id,week,date,home_id,away_id,home_score,away_score,district_game,neutral
w01-anton-southland,1,2026-08-28,anton,southland,,,false,false
w01-aspermont-blackwell,1,2026-08-28,aspermont,blackwell,,,false,false
w01-blanket-panther-creek,1,2026-08-28,blanket,panther-creek,72,26,false,false
w01-booker-miami,1,2026-08-28,booker,miami,,,false,false
w01-borden-county-newcastle,1,2026-08-28,borden-county,newcastle,,,false,false
w01-boys-ranch-kress,1,2026-08-28,boys-ranch,kress,,,false,false
w01-brookesmith-trent,1,2026-08-28,brookesmith,trent,,,false,false
w01-buena-vista-irion-county,1,2026-08-28,buena-vista,irion-county,,,false,false
w01-cherokee-leakey,1,2026-08-28,cherokee,leakey,,,false,false
w01-chillicothe-paint-creek,1,2026-08-28,chillicothe,paint-creek,,,false,false
w01-coolidge-jonesboro,1,2026-08-28,coolidge,jonesboro,,,false,false
w01-cranfills-gap-gholson,1,2026-08-28,cranfills-gap,gholson,,,false,false
w01-dawson-olfen,1,2026-08-28,dawson,olfen,,,false,false
w01-eden-paint-rock,1,2026-08-28,eden,paint-rock,,,false,false
w01-gordon-campbell,1,2026-08-28,gordon,campbell,,,false,false
w01-gorman-throckmorton,1,2026-08-28,gorman,throckmorton,,,false,false
w01-gustine-evant,1,2026-08-28,gustine,evant,58,12,false,false
w01-guthrie-rotan,1,2026-08-28,guthrie,rotan,,,false,false
w01-hart-lazbuddie,1,2026-08-28,hart,lazbuddie,84,34,true,false
w01-hermleigh-bruni,1,2026-08-28,hermleigh,bruni,,,false,false
w01-highland-loraine,1,2026-08-28,highland,loraine,44,13,false,false
w01-jayton-robert-lee,1,2026-08-28,jayton,robert-lee,,,false,false
w01-knippa-lohn,1,2026-08-28,knippa,lohn,,,false,false
w01-knox-city-lefors,1,2026-08-28,knox-city,lefors,69,8,false,false
w01-kopperl-bynum,1,2026-08-28,kopperl,bynum,,,false,false
w01-leveretts-chapel-leakey,1,2026-08-28,leveretts-chapel,leakey,,,false,false
w01-lueders-avoca-moran,1,2026-08-28,lueders-avoca,moran,,,false,false
w01-meadow-lorenzo,1,2026-08-28,meadow,lorenzo,,,false,false
w01-menard-bronte,1,2026-08-28,menard,bronte,,,false,false
w01-morgan-lingleville,1,2026-08-28,morgan,lingleville,,,false,false
w01-motley-county-claude,1,2026-08-28,motley-county,claude,,,false,false
w01-mount-calm-blum,1,2026-08-28,mount-calm,blum,,,false,false
w01-nazareth-happy,1,2026-08-28,nazareth,happy,,,false,false
w01-northside-gold-burg,1,2026-08-28,northside,gold-burg,,,false,false
w01-oakwood-avalon,1,2026-08-28,oakwood,avalon,72,27,false,false
w01-odonnell-spur,1,2026-08-28,odonnell,spur,61,14,false,false
w01-penelope-iredell,1,2026-08-28,penelope,iredell,48,22,false,false
w01-ranger-walnut-springs,1,2026-08-28,ranger,walnut-springs,,,false,false
w01-rankin-rocksprings,1,2026-08-28,rankin,rocksprings,66,46,false,false
w01-richland-springs-lometa,1,2026-08-28,richland-springs,lometa,64,24,false,false
w01-rising-star-forestburg,1,2026-08-28,rising-star,forestburg,56,28,false,false
w01-roby-ira,1,2026-08-28,roby,ira,,,false,false
w01-saint-jo-crowell,1,2026-08-28,saint-jo,crowell,,,false,false
w01-sanderson-loop,1,2026-08-28,sanderson,loop,43,24,false,false
w01-sands-valley,1,2026-08-28,sands,valley,124,74,false,false
w01-sidney-rochelle,1,2026-08-28,sidney,rochelle,,,false,false
w01-springlake-earth-petersburg,1,2026-08-28,springlake-earth,petersburg,,,false,false
w01-sterling-city-grandfalls-royalty,1,2026-08-28,sterling-city,grandfalls-royalty,,,false,false
w01-strawn-klondike,1,2026-08-28,strawn,klondike,,,false,false
w01-three-way-mullin,1,2026-08-28,three-way,mullin,54,8,false,false
w01-veribest-santa-anna,1,2026-08-28,veribest,santa-anna,,,false,false
w01-water-valley-garden-city,1,2026-08-28,water-valley,garden-city,,,false,false
w01-wellman-union-amherst,1,2026-08-28,wellman-union,amherst,58,0,false,false
w01-westbrook-whitharral,1,2026-08-28,westbrook,whitharral,,,false,false
w01-white-deer-groom,1,2026-08-28,white-deer,groom,73,36,false,false
w01-whiteface-bryson,1,2026-08-28,whiteface,bryson,,,false,false
w01-woodson-rule,1,2026-08-28,woodson,rule,64,26,false,false
w01-zephyr-may,1,2026-08-28,zephyr,may,40,18,false,false
w02-anton-loop,2,2026-09-04,anton,loop,54,28,false,false
w02-aquilla-calvert,2,2026-09-04,aquilla,calvert,,,false,false
w02-benjamin-groom,2,2026-09-04,benjamin,groom,,,false,false
w02-blackwell-santa-anna,2,2026-09-04,blackwell,santa-anna,,,false,false
w02-bluff-dale-three-way,2,2026-09-04,bluff-dale,three-way,67,22,false,false
w02-borden-county-nazareth,2,2026-09-04,borden-county,nazareth,,,false,false
w02-boys-ranch-lazbuddie,2,2026-09-04,boys-ranch,lazbuddie,,,false,false
w02-bronte-eden,2,2026-09-04,bronte,eden,,,false,false
w02-brookesmith-rising-star,2,2026-09-04,brookesmith,rising-star,64,39,false,false
w02-bryson-harrold,2,2026-09-04,bryson,harrold,,,false,false
w02-campbell-rule,2,2026-09-04,campbell,rule,,,false,false
w02-cherokee-sidney,2,2026-09-04,cherokee,sidney,,,false,false
w02-chester-apple-springs,2,2026-09-04,chester,apple-springs,68,18,false,false
w02-claude-miami,2,2026-09-04,claude,miami,,,false,false
w02-crowell-throckmorton,2,2026-09-04,crowell,throckmorton,60,14,false,false
w02-dawson-lorenzo,2,2026-09-04,dawson,lorenzo,45,19,false,false
w02-evant-buckholts,2,2026-09-04,evant,buckholts,,,false,false
w02-garden-city-odonnell,2,2026-09-04,garden-city,odonnell,,,false,false
w02-gold-burg-saint-jo,2,2026-09-04,gold-burg,saint-jo,76,52,false,false
w02-gorman-walnut-springs,2,2026-09-04,gorman,walnut-springs,,,false,false
w02-grady-robert-lee,2,2026-09-04,grady,robert-lee,63,34,false,false
w02-iredell-covington,2,2026-09-04,iredell,covington,,,false,false
w02-irion-county-panther-creek,2,2026-09-04,irion-county,panther-creek,,,false,false
w02-jayton-ira,2,2026-09-04,jayton,ira,,,false,false
w02-klondike-aspermont,2,2026-09-04,klondike,aspermont,,,false,false
w02-knox-city-spur,2,2026-09-04,knox-city,spur,,,false,false
w02-kopperl-gholson,2,2026-09-04,kopperl,gholson,,,false,false
w02-lueders-avoca-lohn,2,2026-09-04,lueders-avoca,lohn,,,false,false
w02-marfa-fort-hancock,2,2026-09-04,marfa,fort-hancock,,,false,false
w02-mclean-booker,2,2026-09-04,mclean,booker,63,34,false,false
w02-meadow-petersburg,2,2026-09-04,meadow,petersburg,,,false,false
w02-medina-lometa,2,2026-09-04,medina,lometa,67,22,false,false
w02-menard-rochelle,2,2026-09-04,menard,rochelle,,,false,false
w02-morgan-bynum,2,2026-09-04,morgan,bynum,,,false,false
w02-motley-county-buena-vista,2,2026-09-04,motley-county,buena-vista,,,false,false
w02-mullin-olfen,2,2026-09-04,mullin,olfen,,,false,false
w02-newcastle-guthrie,2,2026-09-04,newcastle,guthrie,,,false,false
w02-northside-cranfills-gap,2,2026-09-04,northside,cranfills-gap,,,false,false
w02-oglesby-abbott,2,2026-09-04,oglesby,abbott,,,false,false
w02-paducah-springlake-earth,2,2026-09-04,paducah,springlake-earth,,,false,false
w02-penelope-blum,2,2026-09-04,penelope,blum,,,false,false
w02-perrin-whitt-lingleville,2,2026-09-04,perrin-whitt,lingleville,,,false,false
w02-richland-springs-gustine,2,2026-09-04,richland-springs,gustine,57,16,false,false
w02-rotan-loraine,2,2026-09-04,rotan,loraine,44,26,false,false
w02-runge-knippa,2,2026-09-04,runge,knippa,38,14,false,false
w02-sands-kress,2,2026-09-04,sands,kress,,,false,false
w02-strawn-may,2,2026-09-04,strawn,may,,,false,false
w02-trent-paint-creek,2,2026-09-04,trent,paint-creek,,,false,false
w02-union-hill-oakwood,2,2026-09-04,union-hill,oakwood,,,false,false
w02-veribest-paint-rock,2,2026-09-04,veribest,paint-rock,,,false,false
w02-water-valley-rankin,2,2026-09-04,water-valley,rankin,,,false,false
