team_id,season,graduation_rate,positional_turnover,notes
rankin,2025,0.90,0.95,11 starters graduated after a 12-1 state run
bronte,2025,0.72,0.70,two-way line and QB class gone
borden-county,2025,0.22,0.18,core skill group returns
sterling-city,2025,0.30,0.25,linebacker class thinned
garden-city,2025,0.35,0.28,
follett,2025,0.28,0.22,
marathon,2025,0.40,0.32,same closed-loop roster cycle
jayton,2025,0.33,0.30,
miami,2025,0.38,0.34,
water-valley,2025,0.40,0.36,
robert-lee,2025,0.45,0.40,
irion-county,2025,0.50,0.44,
spur,2025,0.42,0.38,
paducah,2025,0.48,0.41,
balmorhea,2025,0.55,0.48,
dell-city,2025,0.52,0.47,
lefors,2025,0.50,0.46,
guthrie,2025,0.58,0.50,
darrouzett,2025,0.60,0.55,
sierra-blanca,2025,0.62,0.58,
